site_name,A,B,C,D,E,F,G,H,I,J
A,343,462,413,392,453,427,383,426,302,355
B,351,469,410,388,452,431,379,424,315,352
C,347,489,437,412,466,456,402,453,330,375
D,332,458,420,397,455,428,388,431,308,360
E,295,435,387,363,418,403,353,402,278,326
Dn,461,380,450,463,547,344,461,416,423,442
P,458,377,447,460,544,341,458,413,420,439
Q,469,388,458,471,555,352,469,424,431,450
V,411,516,528,506,555,507,496,534,417,470
Y,429,514,542,522,573,511,512,544,432,485
b,422,496,532,513,566,495,504,532,423,476
d,440,436,520,511,577,450,504,507,426,476
i,481,477,561,552,618,491,545,548,467,517
m,454,439,529,522,589,455,514,515,438,487
q,439,427,515,507,573,441,499,501,422,472
4,535,486,449,482,565,423,485,397,495,481
5,538,489,452,485,568,426,488,400,498,484
7,566,440,592,599,678,472,595,560,535,571
9,498,425,542,542,618,445,537,517,471,512
AD,495,398,538,540,617,433,535,511,469,510
AF,514,388,523,533,615,405,530,489,479,508
AG,490,380,501,510,592,388,507,468,455,485
AJ,399,449,376,376,458,397,372,377,361,354
Do,381,431,358,358,440,379,354,359,343,336
AS,391,458,377,370,451,408,366,385,354,345
AV,397,464,383,376,457,414,372,391,360,351
Ab,360,391,369,368,447,349,363,361,320,340
Dp,425,433,441,441,520,397,436,426,386,413
Dq,387,481,325,301,386,425,302,366,366,314
Ag,376,473,335,311,392,418,306,369,353,303
Ak,401,506,344,303,385,450,305,389,384,331
Ao,371,454,311,299,383,398,298,344,345,299
Ar,384,468,325,312,397,411,311,357,358,312
Av,488,607,447,405,466,552,400,494,477,425
Ax,515,442,579,576,647,481,570,556,496,544
Ay,511,438,575,572,643,477,566,552,492,540
Az,572,499,636,633,704,538,627,613,553,601
A1,558,704,522,495,413,647,497,575,564,519
A3,511,656,475,448,344,600,449,528,517,472
Dr,498,659,486,454,369,605,453,539,511,472
A7,469,599,410,391,329,540,395,462,470,421
BC,415,434,467,460,533,416,454,456,384,427
BE,434,453,486,479,552,435,473,475,403,446
BM,381,412,426,420,493,387,413,418,347,387
BN,473,504,518,511,585,479,505,510,439,479
BR,505,654,478,446,362,598,447,531,512,468
BV,428,576,400,369,283,521,369,453,434,390
BW,331,500,440,411,458,467,401,460,341,376
Bb,290,473,408,376,417,392,366,430,314,343
Be,319,498,443,413,456,468,402,463,342,378
Dt,347,513,433,401,446,475,390,458,352,367
Bh,382,548,468,436,481,510,425,493,387,402
Bo,395,470,474,459,523,450,451,474,372,423
Br,386,461,465,450,514,441,442,465,363,414
Bt,361,436,440,425,489,416,417,440,338,389
Bv,404,553,406,364,382,503,357,452,406,366
Bx,423,572,425,383,401,522,376,471,425,385
B0,338,487,340,298,316,437,291,386,340,300
B7,484,541,347,387,463,479,396,400,458,411
B8,516,573,379,419,495,511,428,432,490,443
CB,495,552,358,398,474,490,407,411,469,422
CF,433,409,335,370,452,345,375,283,396,374
CG,522,460,429,464,546,401,469,376,483,467
CH,545,483,452,487,569,424,492,399,506,490
CK,520,417,487,507,592,355,507,444,480,491
CP,527,423,493,513,599,362,513,451,487,498
CS,473,381,437,457,543,317,457,394,433,442
CT,483,361,449,470,556,318,470,404,443,455
CZ,395,511,389,360,429,461,351,421,376,324
Cb,372,525,410,372,414,480,361,445,372,348
Ce,371,524,409,371,413,479,360,444,371,347
Cg,344,497,382,344,386,452,333,417,344,320
Du,329,468,344,308,360,419,297,380,321,308
Cq,282,478,420,389,427,448,378,442,323,355
Cs,382,578,520,489,527,548,478,542,423,455
Cz,420,418,374,389,475,360,389,350,381,376
C1,485,483,439,454,540,425,454,415,446,441
C4,453,447,405,421,507,388,421,380,413,408
C5,502,520,426,447,532,459,449,404,465,443
C8,418,478,342,349,434,420,351,363,387,349
C9,428,488,352,359,444,430,361,373,397,359
DA,440,503,356,363,449,444,367,384,411,370
DD,396,507,351,335,386,452,276,395,381,328
DE,389,500,344,304,379,445,293,388,374,321
DF,381,492,336,296,371,437,285,380,366,313
DJ,746,652,624,666,729,613,674,586,708,682
DK,699,625,568,610,663,581,619,539,663,631
Dv,776,702,645,687,740,658,696,616,740,708
DN,735,658,608,650,708,614,659,575,698,668
DP,655,489,587,621,704,489,624,534,614,616
DU,554,360,553,568,652,423,566,512,519,546
DV,554,370,553,568,652,424,566,513,519,546
DW,666,472,665,680,764,535,678,624,631,658
Dw,571,378,572,587,670,442,585,531,537,565
DZ,326,491,450,423,468,464,412,467,343,387
Db,319,484,443,416,461,457,405,460,336,380
Dh,371,550,501,472,514,522,461,520,398,437
Dx,311,472,444,416,455,452,405,460,336,381
Dj,358,519,491,463,502,499,452,507,383,428
Dm,319,464,447,421,464,446,410,460,337,385
